date,ACC_value
5276,0.528118939
5277,0.521244962
5278,0.498590585
5279,0.481373259
5280,0.466054831
5281,0.47539514
5282,0.465572226
5283,0.480205721
5284,0.505579195
5285,0.515724229
5286,0.516218298
5287,0.498215735
5288,0.494456914
5289,0.473727228
5290,0.471683892
5291,0.481728622
5292,0.507202401
5293,0.501113661
5294,0.51997368
5295,0.510731382
5296,0.481999156
5297,0.493767969
5298,0.471015008
5299,0.475400299
5300,0.489598761
5301,0.504875348
5302,0.527457505
5303,0.525576375
5304,0.496775943
5305,0.48634146
5306,0.481376698
5307,0.507533691
5308,0.508626718
5309,0.485218628
5310,0.504675886
5311,0.494652364
5312,0.491321124
5313,0.474693012
5314,0.478319432
5315,0.489950112
5316,0.508738485
5317,0.509673318
5318,0.508073613
5319,0.495705842
5320,0.480808118
5321,0.497311279
5322,0.472274826
5323,0.452352731
5324,0.443160872
5325,0.427489947
5326,0.423922563
5327,0.436054189
5328,0.456354574
5329,0.453452636
5330,0.428726838
5331,0.418486086
5332,0.392056267
5333,0.376349232
5334,0.376305672
5335,0.366647829
5336,0.381916391
5337,0.3828197
5338,0.355294561
5339,0.362809911
5340,0.369239111
5341,0.376147478
5342,0.360186531
5343,0.360181946
5344,0.33339963
5345,0.333626603
5346,0.343034546
5347,0.335895766
5348,0.330910371
5349,0.34107088
5350,0.370693233
5351,0.377896207
5352,0.389700555
5353,0.427453837
5354,0.439263918
5355,0.436659452
5356,0.428644303
5357,0.443264615
5358,0.479106389
5359,0.508838789
5360,0.521654775
5361,0.51370554
5362,0.531714981
5363,0.537833525
5364,0.549825872
5365,0.560133685
5366,0.573851834
5367,0.582494601
5368,0.627626819
5369,0.627391821
5370,0.649606006
5371,0.64379869
5372,0.656937369
5373,0.643966628
5374,0.651347857
5375,0.651324357
5376,0.651173614
5377,0.651148968
5378,0.649381898
5379,0.609470074
5380,0.601950712
5381,0.618186779
5382,0.625688945
5383,0.633662254
5384,0.622441388
5385,0.605535291
5386,0.606483307
5387,0.582725013
5388,0.57468923
5389,0.569416678
5390,0.516853939
5391,0.515939166
5392,0.536855131
5393,0.545039365
5394,0.535833177
5395,0.533026384
5396,0.538051328
5397,0.538737408
5398,0.530575527
5399,0.51002295
5400,0.49944231
5401,0.504634618
5402,0.50630597
5403,0.488737866
5404,0.476991407
5405,0.452149257
5406,0.448619702
5407,0.439333844
5408,0.450178713
5409,0.472770614
5410,0.493900943
5411,0.470957118
5412,0.47723271
5413,0.478540101
5414,0.491283295
5415,0.486512263
5416,0.486827505
5417,0.477743974
5418,0.49849544
5419,0.491213942
5420,0.506045179
5421,0.529167259
5422,0.540628281
5423,0.536191405
5424,0.519383893
5425,0.524553848
5426,0.535002659
5427,0.536385708
5428,0.541903002
5429,0.543576073
5430,0.555039961
5431,0.55037038
5432,0.544967719
5433,0.54562686
5434,0.548249666
5435,0.542207353
5436,0.552168974
5437,0.538801602
5438,0.537607698
5439,0.554849097
5440,0.581719108
5441,0.590517775
5442,0.600850234
5443,0.609390404
5444,0.617559735
5445,0.608939322
5446,0.594682397
5447,0.588034248
5448,0.584986152
5449,0.567808948
5450,0.542147744
5451,0.568734037
5452,0.553569218
5453,0.557169845
5454,0.557363575
5455,0.575122543
5456,0.568841792
5457,0.569165058
5458,0.549731873
5459,0.545586738
5460,0.51526455
5461,0.491681072
5462,0.490256182
5463,0.476656105
5464,0.463594804
5465,0.467081371
5466,0.455927566
5467,0.46242268
5468,0.457283676
5469,0.437887747
5470,0.417597679
5471,0.411841948
5472,0.405391541
5473,0.39777818
5474,0.369718851
5475,0.373136065
5476,0.374234251
5477,0.386526936
5478,0.411560524
5479,0.440836684
5480,0.448255742
5481,0.455594556
5482,0.454205203
5483,0.465422056
5484,0.492124129
5485,0.491979692
5486,0.494595047
5487,0.508695498
5488,0.521659361
5489,0.522784485
5490,0.515995337
5491,0.531172766
5492,0.5570042
5493,0.545312192
5494,0.541354482
5495,0.531134364
5496,0.498939643
5497,0.501213392
5498,0.502865256
5499,0.515396952
5500,0.495132103
5501,0.497265999
5502,0.52029408
5503,0.505763755
5504,0.508307464
5505,0.486665872
5506,0.47350484
5507,0.489514506
5508,0.478858781
5509,0.442968861
5510,0.450821805
5511,0.458101583
5512,0.444573152
5513,0.437503726
5514,0.394977119
5515,0.377105811
5516,0.383209453
5517,0.391690587
5518,0.398115775
5519,0.391833305
5520,0.393954018
5521,0.39847515
5522,0.443003251
5523,0.426353932
5524,0.424238951
5525,0.429831902
5526,0.443340846
5527,0.445170964
5528,0.446309844
5529,0.462059866
5530,0.45915105
5531,0.457069885
5532,0.446806206
5533,0.445542375
5534,0.478482211
5535,0.505273125
5536,0.495387162
5537,0.49590817
5538,0.520940038
5539,0.52983729
5540,0.520241922
5541,0.504659264
5542,0.50014845
5543,0.495611843
5544,0.494728595
5545,0.490099135
5546,0.472464544
5547,0.47733588
5548,0.474213273
5549,0.467343881
5550,0.465529238
5551,0.44944678
5552,0.466278366
5553,0.482435335
5554,0.477595524
5555,0.477452806
5556,0.490078501
5557,0.482193459
5558,0.479299546
5559,0.471335407
5560,0.448447179
5561,0.465316594
5562,0.470165003
5563,0.468949892
5564,0.475922453
5565,0.499629162
5566,0.531227217
5567,0.577462779
5568,0.584092587
5569,0.585056652
5570,0.591465218
5571,0.579801868
5572,0.592743951
5573,0.587823896
5574,0.5789404
5575,0.585351832
5576,0.580164682
5577,0.585584537
5578,0.59664549
5579,0.585681402
5580,0.593084984
5581,0.59923448
5582,0.614289252
5583,0.615960603
5584,0.638357628
5585,0.649834699
5586,0.644943302
5587,0.659067253
5588,0.682100492
5589,0.684043524
5590,0.664258988
5591,0.642188668
5592,0.632211572
5593,0.627478942
5594,0.608996066
5595,0.588759876
5596,0.559714128
5597,0.565936415
5598,0.526293979
5599,0.488131457
5600,0.463215941
5601,0.448443167
5602,0.434270498
5603,0.442042625
5604,0.443911146
5605,0.427766213
5606,0.415319345
5607,0.415415064
5608,0.421143855
5609,0.412576747
5610,0.421964629
5611,0.409181886
5612,0.415942949
5613,0.421224672
5614,0.437631542
5615,0.469363717
5616,0.480335256
5617,0.473644119
5618,0.47568287
5619,0.460808072
5620,0.448112451
5621,0.433111556
5622,0.454147886
5623,0.455969407
5624,0.453238272
5625,0.45147808
5626,0.460351259
5627,0.491510842
5628,0.469006062
5629,0.448677592
5630,0.430007864
5631,0.433623967
5632,0.427975418
5633,0.425381843
5634,0.409024266
5635,0.41126649
5636,0.443471527
5637,0.439230101
5638,0.43987262
5639,0.446312137
5640,0.450464723
5641,0.460102505
5642,0.448267778
5643,0.44313336
5644,0.443052543
5645,0.449395769
5646,0.457992109
5647,0.442871996
5648,0.436802171
5649,0.450013641
5650,0.43691795
5651,0.439021468
5652,0.45933389
5653,0.460963973
5654,0.435073503
5655,0.459089148
5656,0.472265082
5657,0.490796677
5658,0.491200186
5659,0.478549272
5660,0.473488218
5661,0.474457441
5662,0.478630088
5663,0.47802024
5664,0.44771582
5665,0.472670884
5666,0.477169088
5667,0.469391229
5668,0.475607785
5669,0.486964491
5670,0.481507953
5671,0.489418787
5672,0.475671406
5673,0.475557346
5674,0.475277068
5675,0.472285716
5676,0.48447294
5677,0.494202428
5678,0.48333062
5679,0.501669059
5680,0.486570153
5681,0.450344358
5682,0.436905341
5683,0.464569186
5684,0.452737325
5685,0.425321087
5686,0.438335389
5687,0.438287243
5688,0.443003824
5689,0.470025724
5690,0.452438132
5691,0.425154869
5692,0.42942782
5693,0.435770472
5694,0.445496522
5695,0.439948278
5696,0.393591778
5697,0.384093848
5698,0.392067157
